File name,Time,Best primal bound,Active columns in best primal sol,Total columns generated,Solved to optimality
RKP_WC_n40_R1000_H100_h80_dev0.1_d1,2055.43,16216.2,11,26006,1
RKP_WC_n40_R1000_H100_h80_dev0.2_d0.1,TIME_LIMIT,13957.6,19,58661,0
RKP_WC_n40_R1000_H100_h80_dev0.2_d0.5,601.979,12687.2,21,13351,1
RKP_WC_n40_R1000_H100_h80_dev0.2_d1,3344.3,13478.9,21,33930,1
RKP_ASC_n50_R1000_H100_h40_dev0.15_d0.1,TIME_LIMIT,10349.7,16,54749,0
RKP_ASC_n50_R1000_H100_h40_dev0.15_d0.5,TIME_LIMIT,9430,1,58671,0
RKP_ASC_n50_R1000_H100_h40_dev0.15_d1,TIME_LIMIT,10578,1,60577,0
RKP_ASC_n50_R1000_H100_h40_dev0.1_d0.1,TIME_LIMIT,11617,1,61732,0
RKP_ASC_n50_R1000_H100_h40_dev0.1_d0.5,TIME_LIMIT,11216,1,54150,0
RKP_ASC_n50_R1000_H100_h40_dev0.1_d1,TIME_LIMIT,11306,1,60691,0
RKP_ASC_n50_R1000_H100_h40_dev0.2_d0.1,TIME_LIMIT,10307.9,18,60361,0
RKP_ASC_n50_R1000_H100_h40_dev0.2_d0.5,TIME_LIMIT,9943.72,17,64105,0
RKP_ASC_n50_R1000_H100_h40_dev0.2_d1,TIME_LIMIT,9554,1,62713,0
RKP_ASC_n50_R1000_H100_h80_dev0.15_d0.1,10499.1,19796.5,12,57116,1
RKP_ASC_n50_R1000_H100_h80_dev0.15_d0.5,TIME_LIMIT,21959.9,15,56286,0
RKP_ASC_n50_R1000_H100_h80_dev0.15_d1,4969.85,20834,13,38533,1
RKP_ASC_n50_R1000_H100_h80_dev0.1_d0.1,TIME_LIMIT,22162.3,2,47397,0
RKP_ASC_n50_R1000_H100_h80_dev0.1_d0.5,1000.13,21338.3,8,15211,1
RKP_ASC_n50_R1000_H100_h80_dev0.1_d1,160.145,22928.2,14,4808,1
RKP_ASC_n50_R1000_H100_h80_dev0.2_d0.1,TIME_LIMIT,19713.7,18,57447,0
RKP_ASC_n50_R1000_H100_h80_dev0.2_d0.5,TIME_LIMIT,20925.8,17,57973,0
RKP_ASC_n50_R1000_H100_h80_dev0.2_d1,2310.67,17605.9,18,22878,1
RKP_SC_n50_R1000_H100_h40_dev0.15_d0.1,TIME_LIMIT,10438.6,17,60578,0
RKP_SC_n50_R1000_H100_h40_dev0.15_d0.5,TIME_LIMIT,10149.5,1,54661,0
RKP_SC_n50_R1000_H100_h40_dev0.15_d1,TIME_LIMIT,10099.5,1,67721,0
RKP_SC_n50_R1000_H100_h40_dev0.1_d0.1,TIME_LIMIT,11826,1,60182,0
RKP_SC_n50_R1000_H100_h40_dev0.1_d0.5,TIME_LIMIT,11110,1,58436,0
RKP_SC_n50_R1000_H100_h40_dev0.1_d1,TIME_LIMIT,10861,1,50500,0
RKP_SC_n50_R1000_H100_h40_dev0.2_d0.1,TIME_LIMIT,9539.17,19,66278,0
RKP_SC_n50_R1000_H100_h40_dev0.2_d0.5,TIME_LIMIT,9629,18,64421,0
RKP_SC_n50_R1000_H100_h40_dev0.2_d1,TIME_LIMIT,9546,1,59549,0
RKP_SC_n50_R1000_H100_h80_dev0.15_d0.1,TIME_LIMIT,22132.4,19,55724,0
RKP_SC_n50_R1000_H100_h80_dev0.15_d0.5,537.939,17904.3,14,10920,1
RKP_SC_n50_R1000_H100_h80_dev0.15_d1,889.488,20455.6,15,13995,1
RKP_SC_n50_R1000_H100_h80_dev0.1_d0.1,3738.47,20882.9,7,31795,1
RKP_SC_n50_R1000_H100_h80_dev0.1_d0.5,235.843,18115.7,9,7121,1
RKP_SC_n50_R1000_H100_h80_dev0.1_d1,10627.4,22065.1,11,47394,1
RKP_SC_n50_R1000_H100_h80_dev0.2_d0.1,TIME_LIMIT,18772.1,17,58830,0
RKP_SC_n50_R1000_H100_h80_dev0.2_d0.5,TIME_LIMIT,19685.5,17,56161,0
RKP_SC_n50_R1000_H100_h80_dev0.2_d1,2694.09,19865.5,16,29846,1
